服务,中文,stores,一级,二级
Karaoke,卡拉OK,65,,
Engelli Dostu,残疾人友好,114,Servisi,Tekerlekli Sandalye İle Erişim
Mobil Şarj Aleti Mevcut,提供移动充电器,32,Servisi,Mobil Şarj Aleti Mevcut
Alkol Servisi Var,提供酒水服务,872,Gıda,Alkol servisi
Ünlülerin Uğrak Yeri,名人常去的地方,4,,
Gizli Bar,畅所欲言,1,,
Bira,啤酒,52,Gıda,Şarap ve Bira
Dans Pisti,舞池,11,,
Park Alanı Mevcut Değil,没有可用的停车区,22,,
Balcony,阳台,10,Oturma,çatı katı
Fal Cafe,假咖啡馆,46,,
Kendin Pişir Kendin Ye,可自己做饭,6,,
Ücretli giriş,付费入场,8,,
Göl Kenarı,湖边,11,Oturma,Göl Kenarı
Nehir Manzarası,河景,14,Oturma,Nehir Manzarası
